Month,Edits,IPs,IPs ,Minor edits,Minor edits 
2002-04,7,6,85.7,2,28.6
2002-05,0,0,0,0,0
2002-06,0,0,0,0,0
2002-07,0,0,0,0,0
2002-08,0,0,0,0,0
2002-09,0,0,0,0,0
2002-10,0,0,0,0,0
2002-11,1,0,0,0,0
2002-12,0,0,0,0,0
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,11,0,0,8,72.7
2004-06,1,0,0,1,100
2004-07,10,5,50,3,30
2004-08,0,0,0,0,0
2004-09,5,5,100,0,0
2004-10,1,0,0,1,100
2004-11,2,0,0,2,100
2004-12,2,1,50,1,50
2005-01,1,1,100,0,0
2005-02,1,0,0,1,100
2005-03,1,1,100,0,0
2005-04,0,0,0,0,0
2005-05,1,0,0,0,0
2005-06,1,1,100,0,0
2005-07,1,0,0,0,0
2005-08,2,0,0,0,0
2005-09,2,1,50,1,50
2005-10,1,1,100,0,0
2005-11,4,4,100,0,0
2005-12,1,0,0,1,100
2006-01,1,0,0,0,0
2006-02,0,0,0,0,0
2006-03,1,0,0,0,0
2006-04,6,5,83.3,1,16.7
2006-05,0,0,0,0,0
2006-06,3,0,0,1,33.3
2006-07,0,0,0,0,0
2006-08,2,0,0,2,100
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,4,0,0,2,50
2007-01,2,0,0,2,100
2007-02,5,4,80,1,20
2007-03,1,0,0,1,100
2007-04,0,0,0,0,0
2007-05,2,0,0,1,50
2007-06,0,0,0,0,0
2007-07,2,0,0,1,50
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,1,0,0,0,0
2007-11,0,0,0,0,0
2007-12,3,0,0,1,33.3
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,14,1,7.1,10,71.4
2008-06,4,0,0,4,100
2008-07,1,0,0,0,0
2008-08,11,1,9.1,7,63.6
2008-09,0,0,0,0,0
2008-10,2,0,0,1,50
2008-11,2,0,0,2,100
2008-12,8,0,0,3,37.5
2009-01,3,1,33.3,1,33.3
2009-02,1,0,0,1,100
2009-03,1,0,0,0,0
2009-04,4,2,50,1,25
2009-05,1,1,100,0,0
2009-06,14,2,14.3,7,50
2009-07,1,1,100,0,0
2009-08,5,0,0,2,40
2009-09,1,0,0,1,100
2009-10,0,0,0,0,0
2009-11,5,0,0,4,80
2009-12,2,2,100,0,0
2010-01,0,0,0,0,0
2010-02,8,0,0,4,50
2010-03,2,1,50,0,0
2010-04,6,0,0,3,50
2010-05,4,2,50,0,0
2010-06,2,1,50,1,50
2010-07,0,0,0,0,0
2010-08,2,0,0,2,100
2010-09,5,2,40,2,40
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,1,1,100,0,0
2011-01,4,1,25,1,25
2011-02,5,2,40,3,60
2011-03,9,0,0,0,0
2011-04,3,0,0,1,33.3
2011-05,1,0,0,0,0
2011-06,0,0,0,0,0
2011-07,1,1,100,0,0
2011-08,2,1,50,0,0
2011-09,12,2,16.7,1,8.3
2011-10,78,26,33.3,9,11.5
2011-11,60,0,0,9,15
2011-12,28,0,0,4,14.3
2012-01,7,0,0,0,0
2012-02,12,0,0,4,33.3
2012-03,6,1,16.7,3,50
2012-04,3,0,0,1,33.3
2012-05,6,0,0,0,0
2012-06,3,0,0,1,33.3
2012-07,2,0,0,2,100
2012-08,4,0,0,2,50
2012-09,1,0,0,0,0
2012-10,11,0,0,5,45.5
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,6,2,33.3,1,16.7
2013-02,5,2,40,1,20
2013-03,2,0,0,1,50
2013-04,0,0,0,0,0
2013-05,4,1,25,3,75
2013-06,5,3,60,2,40
2013-07,2,1,50,1,50
2013-08,7,2,28.6,1,14.3
2013-09,4,1,25,0,0
2013-10,2,1,50,0,0
2013-11,1,0,0,1,100
2013-12,1,1,100,0,0
2014-01,7,1,14.3,1,14.3
2014-02,0,0,0,0,0
2014-03,1,1,100,0,0
2014-04,1,0,0,0,0
2014-05,4,3,75,1,25
2014-06,2,0,0,2,100
2014-07,3,0,0,3,100
2014-08,0,0,0,0,0
2014-09,9,0,0,1,11.1
2014-10,3,1,33.3,0,0
2014-11,1,1,100,0,0
2014-12,1,0,0,0,0
2015-01,2,1,50,1,50
2015-02,71,1,1.4,46,64.8
2015-03,0,0,0,0,0
2015-04,1,0,0,1,100
2015-05,9,3,33.3,6,66.7
2015-06,1,0,0,0,0
2015-07,1,1,100,0,0
2015-08,1,0,0,0,0
2015-09,1,1,100,0,0
2015-10,0,0,0,0,0
2015-11,2,0,0,1,50
2015-12,10,0,0,4,40
2016-01,0,0,0,0,0
2016-02,1,0,0,1,100
2016-03,3,0,0,2,66.7
2016-04,3,0,0,0,0
2016-05,3,0,0,3,100
2016-06,1,1,100,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,8,4,50,1,12.5
2016-10,0,0,0,0,0
2016-11,2,1,50,0,0
2016-12,1,0,0,1,100
2017-01,1,0,0,1,100
2017-02,0,0,0,0,0
2017-03,3,1,33.3,1,33.3
2017-04,2,0,0,0,0
2017-05,2,0,0,0,0
2017-06,3,0,0,1,33.3
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,4,0,0,2,50
2017-10,0,0,0,0,0
2017-11,1,1,100,0,0
2017-12,3,2,66.7,1,33.3
2018-01,0,0,0,0,0
2018-02,1,0,0,0,0
2018-03,2,0,0,1,50
2018-04,1,0,0,1,100
2018-05,1,0,0,1,100
2018-06,0,0,0,0,0
2018-07,0,0,0,0,0
2018-08,4,2,50,1,25
2018-09,1,0,0,0,0
2018-10,0,0,0,0,0
2018-11,1,0,0,0,0
2018-12,3,2,66.7,1,33.3
2019-01,1,0,0,0,0
2019-02,1,0,0,1,100
2019-03,2,2,100,0,0
2019-04,0,0,0,0,0
2019-05,0,0,0,0,0
2019-06,3,2,66.7,0,0
2019-07,1,0,0,1,100
2019-08,2,0,0,1,50
2019-09,0,0,0,0,0
2019-10,0,0,0,0,0
2019-11,2,0,0,2,100
2019-12,2,0,0,1,50
2020-01,1,1,100,0,0
2020-02,0,0,0,0,0
2020-03,5,1,20,3,60
2020-04,2,0,0,1,50
2020-05,0,0,0,0,0
2020-06,1,0,0,0,0
2020-07,2,0,0,2,100
2020-08,5,1,20,2,40
2020-09,2,0,0,1,50
2020-10,2,0,0,1,50
2020-11,1,0,0,1,100
2020-12,3,0,0,3,100
2021-01,1,0,0,1,100
2021-02,4,0,0,2,50
2021-03,1,0,0,0,0
2021-04,2,0,0,0,0
2021-05,8,0,0,5,62.5
2021-06,15,0,0,5,33.3
2021-07,23,2,8.7,3,13
2021-08,22,0,0,2,9.1
2021-09,16,1,6.2,9,56.2
2021-10,97,4,4.1,18,18.6
2021-11,19,2,10.5,2,10.5
2021-12,53,1,1.9,17,32.1
2022-01,87,0,0,31,35.6
2022-02,192,4,2.1,26,13.5
2022-03,26,2,7.7,6,23.1